Market Name,Store Name,Bin Location,Provider,Description,Part Number,Store Part ID,Part ID,UPC,Parts Quantity,Most Recent Cost,Weighted Average Cost,Last Ordered Date,Last Used Date,Days Since Last Interaction,Total Cost
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",T11/03,CON-DRI,"3/4"" x 10’ Chamfer strip",CHM75-10,1073929,5870020,,61000,$0.09,$0.08,2024-11-08,2024-11-08,70,"$4,849.50"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/05/A/02,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,656862,2257898,,22130,$0.39,$0.39,2024-05-15,2024-10-30,79,"$8,641.77"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/05/A/02,BIG CITY MANUFACTURING,STRIPED LOCK OUT TAG LOTO,BCM9658,588147,3679800,,22080,$0.46,$0.46,2024-08-30,2024-10-30,79,"$10,156.80"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",5/B/6,DBI-SALA,"CAP PIPE FME SWG QUICK CAP  1/4""",CAP-SW0.25,688675,3840553,,14122,$0.06,$0.06,2024-08-23,2024-06-18,213,$847.32
"Detroit, MI - Tooling Solutions","Detroit, MI - Tooling Solutions",Rack 1-A,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,781648,2039881,662911302293,12500,$0.84,$0.84,2024-10-29,,80,"$10,540.00"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-10-01-02C,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,751629,2039881,662911302293,12400,$0.83,$0.83,2024-02-16,2024-06-04,227,"$10,292.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 1 - ROW B - BIN 1,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,757274,3679801,,12300,$0.46,$0.46,2024-02-16,,336,"$5,658.00"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/05/A/02,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,832315,3679801,,12100,$0.46,$0.46,2024-08-31,2024-12-27,21,"$5,566.00"
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",3/A/1 / Dewalt Display,DEWALT,4-1/2 x .045 x 7/8 HP T1 Cutting Wheel,DW8062Z,903241,699146,40028877200352,12025,$0.91,$0.91,2024-06-03,,228,"$10,942.75"
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",3/B/3,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,903207,2039881,662911302293,12000,$0.83,$0.83,2024-04-29,,263,"$9,960.00"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",G/2/2,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,916410,2039881,662911302293,12000,$0.83,$0.83,2024-05-09,,253,"$9,960.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-I9,DEWALT,4-1/2 x .045 x 7/8 HP T1 Cutting Wheel,DW8062Z,899526,699146,40028877200352,12000,$0.92,$0.92,2024-04-25,,267,"$11,040.00"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",G/4/4,DEWALT,4-1/2 x .045 x 7/8 HP T1 Cutting Wheel,DW8062Z,916468,699146,40028877200352,11400,$0.91,$0.91,2024-12-12,2024-12-13,35,"$10,374.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",01/A/FLOOR,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,540409,2257898,,11141,$0.65,$0.59,2024-08-31,2024-06-10,221,"$6,521.94"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",E/2/2,BIG CITY MANUFACTURING,YELLOW BARRICADE TAG,BCM9558,853884,2257899,,10977,$0.39,$0.39,2024-07-18,,183,"$4,281.03"
"Detroit, MI - Tooling Solutions","Detroit, MI - Tooling Solutions",FLOOR IN SHOP. NEEDS A NEW HOME,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,1118336,781708,662911302361,10500,$1.15,$1.15,2024-10-29,,80,"$12,075.00"
"Detroit, MI - Tooling Solutions","Detroit, MI - Tooling Solutions",Rack 6-B  +  FLOOR IN SHOP. NEEDS NEW HOME.,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,762363,1906618,662911300961,10500,$1.28,$1.28,2024-11-05,,73,"$13,440.00"
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",3/B/5,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,903208,781708,662911302361,10500,$1.14,$1.14,2024-04-29,,263,"$11,970.00"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",G/2/3,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,916948,781708,662911302361,10500,$1.14,$1.14,2024-05-10,,252,"$11,970.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-H8/ TC-I1,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,926587,781708,662911302361,10500,$1.14,$1.14,2024-05-21,,241,"$11,970.00"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",G/2/4,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,943378,1906618,662911300961,10500,$1.25,$1.25,2024-06-07,,224,"$13,125.00"
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",3/B/5,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,922700,1906618,662911300961,10445,$1.25,$1.25,2024-05-16,2024-10-31,78,"$13,056.25"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-H2-H5,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,926588,2039881,662911302293,10400,$0.83,$0.83,2024-05-21,2024-09-10,129,"$8,632.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 1 - ROW B - BIN 1,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,757273,2257898,,10300,$0.39,$0.42,2024-02-16,,336,"$4,324.97"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",E/2/2,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,853885,3679801,,10000,$0.46,$0.46,2024-03-13,,310,"$4,600.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-U5,ULINE,14 X 26 SANDBAGS ORANGE,ES84190,1101773,5880789,,10000,$0.42,$0.42,2024-10-15,,94,"$4,200.00"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",,MICHIGAN PNEUMATIC,"TAG DANGER ""DO NOT OPERATE""",9458,1151178,4127465,,10000,$0.40,$0.40,2024-11-26,,52,"$4,000.00"
"Charlotte, NC - Tooling Solutions","Charlotte, NC - Tooling Solutions",,CON-DRI,"1/2"" x 2” x 3/4"" x 8’ Wood Reveal  200LF/bundle",RVL5020075-8,1163136,5870431,,10000,$0.41,$0.41,2024-12-11,2024-12-10,38,"$4,100.00"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",,IRONWEAR,"8"" CLEAR FACE SHIELD",3939,892754,775258,20607659393909,10000,$1.25,$1.25,2024-04-18,,274,"$12,500.00"
"Charlotte, NC - Tooling Solutions","Charlotte, NC - Tooling Solutions",,CON-DRI,"3/4"" x 10’ Chamfer strip",CHM75-10,1164519,5870020,,10000,$0.08,$0.08,2024-12-11,,37,$795.00
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C4.04.03,IRONWEAR,"8"" CLEAR FACE SHIELD",3939,872091,775258,20607659393909,10000,$1.25,$1.25,2024-03-29,,294,"$12,500.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-O6,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,909055,2257898,,10000,$0.39,$0.39,2024-05-03,,259,"$3,900.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-O6,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,909056,3679801,,10000,$0.46,$0.46,2024-05-03,,259,"$4,600.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",01/A/FLOOR,MICHIGAN PNEUMATIC,"TAG DANGER ""DO NOT OPERATE""",9458,1087414,4127465,,10000,$0.40,$0.40,2024-10-02,,107,"$4,000.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",01/A/FLOOR,MICHIGAN PNEUMATIC,TAG LOCK OUT R/W/STRIPE,9658,1087415,4127466,,10000,$0.40,$0.40,2024-10-02,,107,"$4,000.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-O6,BIG CITY MANUFACTURING,YELLOW BARRICADE TAG,BCM9558,909054,2257899,,10000,$0.39,$0.39,2024-05-03,,259,"$3,900.00"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",E/2/2,BIG CITY MANUFACTURING,RED BARRICADE TAG,BCM9465,853886,2257898,,9800,$0.39,$0.39,2024-03-13,,310,"$3,822.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",05/F/03 & 05/F/04,METABO,WHEEL SLICER 6X.045X7/8 T2,655347000,392637,1906618,662911300961,9571,$1.25,$1.30,2024-12-29,2024-08-31,139,"$12,396.36"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 6 - ROW C - BIN 4,HYDRATION HEALTH,"Stick Pro:play	(LL) Lemon Lime",31130,943820,3871847,,9500,$0.36,$0.36,2024-12-23,,25,"$3,420.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 6 - ROW C - BIN 4,HYDRATION HEALTH,"Stick Pro:play	(CB) Citrus Blast",40135,943823,3871850,,9000,$0.36,$0.36,2024-06-10,,221,"$3,240.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 6 - ROW C - BIN 4,HYDRATION HEALTH,Stick Pro:play (SM) Strawberry Mango,31136,943821,3871848,,9000,$0.36,$0.36,2024-06-10,,221,"$3,240.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",04/E/04,PROFAX,"GREEN HOSE - 1/4"" - 800' REEL",SGH-1/4,443204,2039050,,8800,$0.36,$0.36,2024-12-20,,28,"$3,168.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",V5,HYDRATION HEALTH,"Stick Pro:play	(LL) Lemon Lime",31130,940857,3871847,,8500,$0.36,$0.36,2024-06-13,2024-08-30,140,"$3,060.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",V5,HYDRATION HEALTH,"Stick Pro:play	(BR) Blue Rasberry",40124,940859,3871849,,8500,$0.36,$0.36,2024-06-13,2024-08-30,140,"$3,060.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",V5,HYDRATION HEALTH,Stick Pro:play (SM) Strawberry Mango,31136,940858,3871848,,8500,$0.36,$0.36,2024-06-13,2024-07-19,182,"$3,060.00"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",F5/01 & F5/02 & F5/03,METABO,"4 1/2"" x .040"" x 7/8"" - A60TZ Original Slicer",655331000,708022,2039881,662911302293,8350,$0.92,$0.92,2023-11-06,2024-02-27,325,"$7,682.00"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",F5/03 & F5/04 & F5/05  & F5/06 & F4/06,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,711333,781708,662911302361,8300,$1.27,$1.27,2023-11-09,2024-12-24,24,"$10,541.00"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",S2/01 & S2/04,IRONWEAR,"8"" CLEAR FACE SHIELD",3939,592929,775258,20607659393909,8300,$1.25,$1.25,2024-12-23,,25,"$10,375.00"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",V5,HYDRATION HEALTH,"Stick Pro:play	(CB) Citrus Blast",40135,940860,3871850,,8000,$0.36,$0.36,2024-06-13,2024-08-30,140,"$2,880.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 6 - ROW C - BIN 4,HYDRATION HEALTH,"Stick Pro:play	(BR) Blue Rasberry",40124,943822,3871849,,8000,$0.36,$0.36,2024-06-10,2024-12-23,25,"$2,880.00"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-10-01-01C/05-11-03-03C,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,715518,781708,662911302361,7700,$1.14,$1.14,2024-02-16,2024-08-30,140,"$8,778.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",01/A/FLOOR,BIG CITY MANUFACTURING,DANGER DO NOT OPERATE TAG,BCM9458,540411,3679801,,6800,$0.39,$0.44,2024-08-31,2024-07-17,184,"$2,964.12"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",Wright Tool Cabinet,BIG CITY MANUFACTURING,YELLOW BARRICADE TAG,BCM9558,903667,2257899,,6200,$0.51,$0.54,2024-10-24,,85,"$3,330.02"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",pallet over service,SUREBUILT,Square OSH Rebar Cap #3-#8,PC110,1117137,5909324,,6000,$0.70,$0.70,2024-12-23,2024-10-29,80,"$4,200.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",SB1/04,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,361191,781708,662911302361,5820,$1.14,$1.14,2024-12-29,2024-07-17,184,"$6,637.13"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",E5/02 & N1/01 & N1/02 & N1/03,MK MORSE,BLADE PORTABAND 44-7/8'' 18TPI BI-METAL,ZWEP4418WB,612509,3745836,050326002172,5685,$2.97,$2.97,2023-07-20,2024-12-24,24,"$16,884.45"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions","B/ETT , F 4 2",EAGLE TAPTEK,MED LINE BLUE PAINT MARKER 2.3MM,PM16-00216 BLU,887693,2249761,842006002165,5076,$1.68,$1.73,2025-01-13,2025-01-15,2,"$8,761.68"
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C5.02.02,BIG CITY MANUFACTURING,YELLOW BARRICADE TAG,BCM9558,895359,2257899,,5000,$0.51,$0.51,2024-04-22,,270,"$2,550.00"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-11-04-01C,DEWALT,"4-1/2 X1/8 X5/8""-11 PIPELINER CUT GRINDING WHEEL",DW8435Z,791766,699200,028877321851,5000,$1.70,$1.70,2024-02-02,,350,"$8,500.00"
